Age,Gender,Marital_Status,Education,Location,Monthly_Income,Credit_Score,Existing_Loans,Bank_Balance,Monthly_Expense,Loan_Amount,Loan_Tenure,Interest_Rate,EMI,Missed_EMI,Credit_Inquiries,Online_Engagement_Score,Past_Application_Status,Loan_Status
52,Male,Married,High School,Urban,24494,879,0,,30067,1717068,48,12.29235919,53361.26384,,6,63,Approved,0
54,Male,Married,High School,Semi-Urban,130404,533,2,364897,5057,112372,12,7.188094829,10037.45049,1,,1,,0
48,Male,Single,Bachelor,Urban,21062,645,1,,10903,590461,48,13.85843921,19120.3274,4,,65,Rejected,0
35,Male,Married,High School,Rural,122945,692,3,427791,69587,1694541,60,12.79718547,46313.47955,1,6,68,Approved,1
50,Male,Single,Master,Semi-Urban,94469,309,1,289241,13877,341374,36,14.57361115,13628.48772,2,,77,,0
57,Male,Married,High School,Urban,142538,350,3,242683,41767,1943984,36,13.62475185,76071.47189,0,,6,,0
49,Male,Married,Bachelor,Rural,141082,471,2,455424,84629,1652573,60,14.61830998,47674.40365,3,,54,,0
42,Female,Single,Master,Semi-Urban,99937,325,4,109081,7701,1987269,24,10.6639078,100462.9195,2,,20,,0
24,Male,Married,Master,Urban,37836,502,3,342018,81882,344768,48,13.6450016,11102.96659,4,,93,,0
40,Male,Married,Bachelor,Rural,37760,634,3,372417,19272,1254287,24,11.26206001,64033.50455,1,,10,Approved,0
52,Male,Divorced,High School,Rural,36766,767,4,258377,90272,1583990,12,14.71868526,151427.7086,0,0,36,Rejected,1
56,Male,Single,High School,Rural,49722,329,1,441105,31153,292545,48,7.270916727,7867.246112,3,,83,,0
24,Male,Married,Bachelor,Urban,20066,528,3,,50936,950195,12,9.210693316,86476.21228,3,,9,,0
47,Female,Married,Bachelor,Rural,141533,891,3,176376,77566,869323,24,7.392009455,41576.8282,1,1,46,Approved,1
37,Female,Married,Bachelor,Semi-Urban,40287,422,4,379828,96148,1816369,36,10.77946333,66770.9303,1,,94,,0
32,Male,Married,High School,Semi-Urban,98323,534,1,428615,58187,478472,24,13.14878927,25179.10625,3,,23,,0
42,Female,Single,Master,Urban,128417,742,0,25839,16451,428252,48,11.7665962,13121.1403,,9,91,Approved,1
37,Male,Single,High School,Urban,106770,383,3,247957,12891,1010981,36,13.267629,39260.57292,4,,93,,0
30,Male,Married,Bachelor,Urban,21435,639,2,,39371,549299,36,11.1689808,20370.89721,4,,54,Approved,0
21,Female,Single,PhD,Urban,119957,799,4,349002,75184,1309293,48,7.430028462,35383.67438,2,6,69,Approved,0
42,Female,Divorced,Bachelor,Urban,99837,496,3,388275,55949,772529,36,13.76330259,30319.59754,4,,90,,0
46,Female,Married,Bachelor,Urban,59592,502,1,109640,45059,389975,60,11.14689813,10122.093,1,,49,,0
38,Female,Single,High School,Rural,41873,429,2,212950,19703,663388,36,12.77085638,25487.47184,4,,11,,0
34,Female,Married,PhD,Semi-Urban,77942,398,0,35380,68257,1342451,48,9.355505942,38433.81942,,,8,,0
49,Male,Single,High School,Semi-Urban,29824,329,2,,80994,1698188,36,14.97549687,68364.56312,4,,27,,0
32,Male,Married,Bachelor,Semi-Urban,78803,684,3,227433,8605,1757191,12,10.12141867,161253.6382,0,7,14,Approved,1
56,Male,Single,Master,Semi-Urban,111917,496,2,190338,46628,448696,12,14.1795392,42693.2521,2,,6,,0
55,Female,Single,High School,Urban,93788,363,0,278571,58360,809577,24,8.424034225,39415.62863,,,54,,0
32,Male,Single,Master,Semi-Urban,97773,763,1,450939,25710,866392,36,12.45878658,33061.60529,3,4,25,Rejected,0
27,Female,Married,PhD,Semi-Urban,58961,335,0,34350,59055,924280,24,10.86538865,46880.55118,,,42,,0
49,Male,Single,Bachelor,Urban,23596,890,0,,22217,1707998,36,14.82972869,68552.01134,,0,94,Approved,0
31,Female,Single,Bachelor,Urban,90851,380,4,493315,27307,279842,24,12.39928214,14551.61659,0,,20,,0
53,Female,Single,Master,Urban,76689,835,4,147326,19452,454224,36,8.724442246,15919.70921,2,9,61,Approved,0
26,Male,Single,Bachelor,Semi-Urban,127794,791,0,447936,89754,1988532,48,9.837612719,57729.75641,,7,43,Approved,1
35,Male,Divorced,Master,Urban,38647,678,2,190548,13591,875733,60,11.15558478,22736.64477,1,3,6,Rejected,1
52,Male,Single,Bachelor,Semi-Urban,107331,888,2,362662,25055,754768,24,13.9691564,40234.89353,2,2,63,Rejected,0
31,Male,Married,High School,Urban,113509,745,0,495008,80454,1619141,60,11.05204075,41898.02693,,6,7,Approved,1
43,Female,Married,High School,Semi-Urban,85291,808,2,246300,70491,837602,36,7.64597003,28603.62205,1,2,30,Approved,1
46,Male,Married,High School,Rural,130408,533,1,256757,34691,1538705,24,8.12857996,74535.61386,3,,96,,0
54,Female,Single,High School,Rural,30764,464,2,309903,24476,1138853,24,10.64901165,57558.59072,0,,73,,0
54,Male,Divorced,High School,Semi-Urban,108599,406,2,457231,27489,1904323,60,8.059168596,44528.1001,2,,52,,0
49,Male,Single,Bachelor,Urban,69325,753,0,44569,91827,1821975,48,10.33657265,53651.95996,,5,11,Approved,0
24,Male,Married,High School,Semi-Urban,73006,566,2,421239,54253,276817,60,9.44277159,6791.883086,2,,48,,0
37,Male,Divorced,Master,Semi-Urban,136141,894,2,106136,90454,1608415,36,7.211033841,54343.47361,2,2,11,Approved,0
55,Male,Married,Master,Semi-Urban,31121,474,4,80046,7004,416670,48,14.80374552,13820.85554,3,,79,,0
33,Female,Married,Bachelor,Rural,96381,631,4,176593,6743,1448821,60,13.03923456,39889.94738,1,,72,Approved,0
61,Male,Divorced,Bachelor,Urban,86143,850,2,219911,23044,1824017,12,11.83604946,169992.3795,0,4,27,Approved,1
59,Female,Married,High School,Semi-Urban,34303,689,2,111618,57042,230609,12,9.34228438,21012.76238,4,8,25,Approved,0
35,Male,Single,Bachelor,Urban,93697,719,0,481811,63415,150624,12,8.266889209,13589.65993,,9,71,Pending,0
49,Female,Single,Bachelor,Urban,114242,745,1,468669,84731,468767,36,10.18508232,16999.99763,2,2,84,Approved,0
49,Male,Single,Master,Semi-Urban,108977,615,4,60620,98437,872231,36,7.098106689,29387.9628,3,,80,Approved,0
31,Male,Single,High School,Urban,77298,634,3,276123,59093,415363,60,11.35460803,10852.95338,0,,42,Rejected,0
52,Male,Married,Master,Semi-Urban,79121,888,2,87729,7004,1774228,24,7.027556779,84316.57334,4,7,54,Approved,0
22,Female,Married,Master,Semi-Urban,109806,627,3,179334,57925,1997991,48,9.357638803,57205.21092,1,,86,Approved,0
34,Female,Single,Bachelor,Semi-Urban,140469,643,0,41703,71433,189054,60,8.342174793,4465.167928,,,54,Approved,0
40,Male,Married,High School,Rural,137528,458,3,360707,69895,506925,12,14.08090887,48192.05394,2,,72,,0
42,Male,Single,Bachelor,Semi-Urban,104759,359,1,207020,34481,455375,36,13.89682993,17922.863,1,,32,,0
31,Male,Divorced,Bachelor,Rural,92581,696,1,396009,8777,1448560,12,13.22735924,136680.5196,3,5,17,Approved,0
47,Female,Divorced,Bachelor,Semi-Urban,64195,779,0,70380,96803,882205,36,12.80032844,33916.12257,,0,39,Approved,0
23,Male,Divorced,Bachelor,Semi-Urban,37801,848,4,340258,89612,1987586,24,13.28737243,104824.2462,3,8,81,Approved,0
37,Female,Married,High School,Urban,80683,550,2,67790,87311,1026254,60,7.885524288,23848.0257,4,,32,,0
64,Male,Single,High School,Semi-Urban,98227,360,3,82071,40400,574777,60,12.95326458,15783.98213,1,,37,,0
48,Female,Married,High School,Semi-Urban,55876,701,0,174230,14424,584037,36,13.79059488,22935.09805,,5,91,Rejected,1
49,Female,Single,High School,Semi-Urban,82959,609,1,231364,82935,1133967,12,9.04393773,103043.5224,2,,41,Rejected,0
41,Female,Single,High School,Semi-Urban,143409,677,1,382019,93105,1141050,48,11.77328809,34966.80031,3,0,32,Approved,0
36,Male,Married,High School,Rural,133774,586,0,54280,11297,66697,12,11.4653286,6195.335851,,,8,,0
57,Female,Single,High School,Urban,61447,890,0,237977,88934,1247337,36,8.93921378,43940.09342,,1,66,Rejected,1
40,Male,Divorced,Master,Semi-Urban,50944,639,0,86874,60159,784370,60,7.315260048,17854.3921,,,14,Approved,0
26,Female,Divorced,Master,Semi-Urban,70472,879,3,439520,66404,438939,48,14.21269301,14343.31688,1,0,20,Approved,1
39,Male,Single,Bachelor,Urban,118059,509,1,230719,30703,116561,60,11.55627744,3065.192712,0,,53,,0
25,Female,Married,Bachelor,Rural,134528,651,0,355144,34241,546933,60,10.63464357,13962.58126,,3,18,Rejected,1
23,Female,Single,Master,Semi-Urban,106344,898,2,289895,23058,447891,36,13.91645921,17635.63069,2,2,50,Approved,0
21,Male,Married,Bachelor,Urban,118400,361,0,222311,55170,947579,36,12.75303872,36392.06528,,,62,,0
58,Male,Married,High School,Urban,35807,378,0,257328,37864,726401,36,8.3956557,25259.9828,,,71,,0
35,Female,Single,Master,Semi-Urban,49853,562,3,74001,39453,795043,12,10.9777849,73526.7592,4,,18,,0
54,Female,Single,Bachelor,Urban,78861,458,4,258806,84964,1200318,36,12.12726191,45472.6423,2,,24,,0
55,Male,Single,Bachelor,Urban,123440,554,1,391662,95024,1449448,24,12.66238232,75688.2206,2,,25,,0
45,Female,Divorced,PhD,Urban,25666,339,0,,30300,1781348,12,11.86276569,166055.4283,,,34,,0
44,Female,Single,Bachelor,Rural,75631,889,3,268454,37679,1516694,60,10.83767936,38976.10271,2,8,20,Pending,0
32,Male,Single,Master,Semi-Urban,28615,638,4,,26263,1800841,48,7.04300751,48086.96807,0,,42,Approved,0
38,Male,Married,Bachelor,Urban,34738,379,4,318236,56754,554873,12,9.803070928,50772.29948,2,,49,,0
35,Male,Married,Bachelor,Rural,38235,492,4,324974,31649,1601281,36,11.74088198,60147.07048,3,,12,,0
64,Female,Married,Bachelor,Rural,126926,324,0,223711,97637,922363,24,10.66203078,46627.01058,,,30,,0
36,Female,Married,Master,Semi-Urban,21917,594,0,,63326,1547017,12,7.130771496,138110.9373,,,53,,0
47,Female,Married,High School,Urban,65953,459,3,171688,75615,1518390,48,7.202959804,40747.21011,3,,79,,0
28,Male,Married,Bachelor,Semi-Urban,121061,493,1,275425,40845,1347298,12,14.56908605,128632.2504,4,,50,,0
45,Female,Single,Master,Urban,113097,815,3,291461,38298,1790784,60,8.843579398,43043.85041,3,5,87,Approved,0
37,Male,Married,Bachelor,Semi-Urban,149652,578,4,379372,11422,1325276,36,13.05709738,51233.43704,4,,69,,0
49,Male,Single,High School,Urban,39948,589,2,461662,32005,1895519,12,11.91926798,176787.5824,1,,43,,0
28,Female,Single,High School,Semi-Urban,136155,485,1,428570,14240,1431087,24,12.7713079,74859.33559,3,,79,,0
35,Male,Divorced,Bachelor,Urban,140558,628,3,138009,66455,1617383,36,7.222382067,54661.77053,0,,27,Approved,0
47,Female,Single,Master,Semi-Urban,73258,574,1,289205,76937,796291,48,8.38669266,22154.6024,3,,75,,0
27,Male,Divorced,Bachelor,Urban,45416,834,2,136040,71652,1088648,36,12.04218353,41164.97141,0,9,45,Approved,1
23,Male,Single,Bachelor,Semi-Urban,41018,824,4,192530,74177,1507993,12,7.717406444,135364.2457,2,6,5,Rejected,0
49,Male,Single,High School,Semi-Urban,35629,776,3,12805,27161,1590329,60,13.11894363,43891.68041,2,0,51,Approved,0
64,Female,Married,Bachelor,Urban,103554,627,1,118994,96317,840743,36,14.85125013,33759.04271,4,,11,Rejected,0
44,Male,Married,Bachelor,Semi-Urban,20125,665,1,,88976,1708401,12,11.08162467,158143.2989,0,8,23,Approved,0
23,Female,Married,Bachelor,Urban,118003,304,0,321409,15241,1714721,12,10.04764156,157250.835,,,57,,0
40,Male,Married,PhD,Semi-Urban,82394,774,4,373994,78860,154812,60,7.493973763,3546.997555,2,3,56,Approved,0
35,Male,Single,Master,Urban,108185,722,3,424453,61433,1011240,12,8.636023795,91547.57725,2,7,98,Approved,0
45,Male,Divorced,High School,Semi-Urban,85887,675,4,71999,17028,83318,48,14.92603358,2772.131055,3,9,45,Rejected,0
50,Female,Single,Bachelor,Urban,61327,449,0,308362,92029,537886,60,8.844347281,12929.14215,,,43,,0
34,Female,Married,High School,Urban,77735,705,2,72730,9371,134611,48,7.712732428,3669.578021,0,6,28,Approved,1
27,Female,Single,High School,Urban,133738,745,4,372939,88076,1709668,48,14.35649001,56072.10963,1,5,14,Approved,1
37,Female,Married,High School,Rural,20449,735,0,,17304,230255,12,11.90801709,21472.81706,,4,1,Approved,0
64,Female,Married,Bachelor,Semi-Urban,27172,722,2,,76729,1905192,36,7.688516268,65128.74974,4,4,93,Approved,0
40,Male,Single,Bachelor,Rural,88604,416,4,368820,76367,128664,48,11.1944568,3880.769658,1,,1,,0
56,Male,Divorced,Bachelor,Rural,33469,891,2,310034,29344,536433,48,12.12836875,16597.40186,2,0,5,Approved,0
29,Female,Single,Master,Rural,134923,424,3,95578,53767,1737226,36,10.98532449,64159.60388,3,,50,,0
58,Female,Single,High School,Semi-Urban,125960,739,1,134133,8061,793119,24,12.46767797,41286.91857,2,5,78,Pending,0
42,Female,Married,Bachelor,Urban,75498,695,2,204473,90976,818031,24,9.168559559,40334.76329,2,3,78,Approved,0
22,Female,Single,Bachelor,Rural,26863,651,1,,81190,1552766,60,7.232396944,35237.95006,4,9,80,Approved,0
44,Male,Single,High School,Urban,44344,688,3,434810,29058,555479,60,14.67373457,16050.44284,2,6,33,Approved,0
28,Female,Married,PhD,Semi-Urban,40841,801,2,497184,63971,1150076,48,12.26926557,35718.73989,4,3,40,Approved,0
31,Female,Married,Bachelor,Rural,119096,734,1,388059,23934,1286956,36,8.369010679,44724.23487,4,2,38,Rejected,0
33,Female,Single,Master,Urban,87914,535,2,326492,68790,1729791,36,7.096673451,58279.55155,0,,5,,0
37,Female,Married,Bachelor,Urban,75869,815,0,139346,55126,1358902,24,8.752397077,66532.29158,,0,89,Approved,0
28,Male,Married,High School,Urban,63328,658,2,82455,15218,996514,12,10.39272239,91673.24447,4,7,67,Rejected,0
41,Male,Married,High School,Rural,25856,483,2,,49850,1120706,12,14.7712203,107187.3294,1,,92,,0
38,Female,Divorced,Master,Rural,122656,574,4,444113,12734,1869091,24,12.77150465,97771.37867,1,,43,,0
50,Male,Married,High School,Semi-Urban,71575,894,4,53372,59331,1458502,24,9.277869332,72047.40915,4,2,6,Rejected,0
38,Male,Married,PhD,Rural,141459,504,3,147662,68898,897102,60,13.65577876,25160.55536,3,,39,,0
51,Female,Single,Bachelor,Urban,33486,345,3,300556,55765,1945171,12,12.55866426,182454.8746,0,,52,,0
58,Female,Single,High School,Urban,120680,488,3,219016,5396,941359,60,11.12823609,24419.03767,2,,5,,0
52,Male,Married,Bachelor,Urban,123706,882,1,457509,20339,358569,24,7.540795323,17193.6212,3,6,56,Approved,0
31,Male,Divorced,High School,Urban,30533,344,3,480388,78391,1679503,24,11.77862925,86464.4943,1,,49,,0
45,Male,Married,High School,Urban,47026,729,3,32623,20339,478208,24,7.960661683,23097.71009,0,6,70,Pending,1
53,Male,Single,Master,Urban,145735,316,4,233332,29973,388493,36,13.75288501,15243.88852,2,,72,,0
58,Male,Single,Bachelor,Semi-Urban,57584,698,2,382875,84083,945589,24,8.311418473,45948.86324,0,0,45,Approved,1
61,Female,Married,Bachelor,Urban,68779,628,3,39650,33963,889252,12,9.160076683,80892.34709,4,,32,Rejected,0
28,Male,Married,High School,Urban,118881,349,3,103533,56622,1231575,12,9.568217003,112451.2307,3,,58,,0
31,Male,Married,High School,Rural,25319,674,2,,5644,1951345,24,13.18590505,102747.9166,4,3,65,Approved,0
42,Male,Married,Bachelor,Urban,129600,512,4,103958,93942,414102,60,10.50716927,10527.56651,0,,31,,0
44,Male,Single,Bachelor,Urban,128027,334,4,454240,10703,1117837,60,13.82282662,31507.00586,2,,80,,0
61,Male,Divorced,Master,Urban,72364,358,2,83382,53641,937907,36,9.902919664,33792.98695,0,,49,,0
37,Male,Married,Bachelor,Rural,73290,823,4,92205,8166,1394070,24,9.069099873,68622.05005,1,7,38,Approved,1
32,Male,Single,Master,Semi-Urban,138420,839,4,467150,67502,329304,48,14.15762163,10745.63453,3,6,65,Approved,0
52,Male,Single,High School,Semi-Urban,55538,675,0,476520,26883,1213072,12,13.60310137,114840.6178,,5,68,Approved,1
35,Female,Divorced,High School,Urban,108481,427,1,297746,67670,209370,60,12.73839295,5712.031111,2,,88,,0
36,Female,Married,High School,Urban,41277,798,2,473908,30783,712993,60,8.262951484,16792.73881,0,7,87,Rejected,1
42,Male,Single,Master,Urban,99123,519,1,291220,10968,1686294,12,8.880404111,153003.6435,1,,89,,0
48,Female,Single,Master,Urban,121457,492,2,135931,99741,1362321,60,14.60282473,39283.46233,0,,39,,0
40,Female,Single,High School,Semi-Urban,148212,351,0,493367,67830,1475348,48,10.04011276,43080.30023,,,28,,0
53,Female,Single,High School,Rural,124055,851,2,47371,89000,1412991,12,12.31532427,132250.452,0,3,62,Rejected,1
30,Female,Married,Bachelor,Urban,143811,817,2,291703,56141,458350,48,9.492105069,13174.54697,0,5,74,Approved,1
60,Female,Married,Master,Semi-Urban,123174,464,2,191224,37697,240631,12,9.876290154,22033.03465,3,,69,,0
52,Female,Married,Master,Urban,84708,562,0,238885,11865,1633451,24,9.518036838,81016.49733,,,5,,0
53,Male,Married,High School,Urban,63784,684,4,282039,55077,1845155,60,9.381535991,45177.9067,4,1,50,Approved,0
22,Male,Single,Bachelor,Urban,84510,888,3,342890,22470,313139,12,14.67601499,29924.61055,0,8,43,Approved,1
53,Female,Single,Master,Rural,104012,475,1,184924,97610,736725,36,13.96859413,29040.42709,3,,45,,0
53,Male,Single,High School,Urban,146481,734,1,357450,88197,264401,12,12.90668832,24877.20108,2,5,29,Approved,0
61,Female,Single,Bachelor,Semi-Urban,82766,535,1,171213,38673,91070,24,11.51214866,4668.259482,4,,7,,0
33,Male,Single,Bachelor,Urban,28817,441,3,,65277,143117,12,14.42583671,13646.90206,3,,46,,0
50,Male,Married,High School,Urban,130080,634,4,495726,20097,1474061,12,13.27098021,139140.2786,0,,61,Approved,0
53,Male,Married,PhD,Urban,128515,724,0,73198,35847,1708053,48,13.87441759,55332.97133,,5,33,Rejected,1
33,Female,Married,Master,Urban,132364,541,2,396980,43839,1422046,60,13.00386247,39110.84217,1,,27,,0
46,Male,Married,Bachelor,Rural,38253,406,2,498442,63501,785681,48,14.31397649,25740.20364,2,,11,,0
42,Male,Married,High School,Semi-Urban,52071,896,4,445207,89638,258997,60,11.76243009,6855.311754,3,3,39,Rejected,0
59,Female,Married,Master,Urban,99668,745,0,469650,73963,1780414,36,11.58535341,66644.88229,,5,7,Rejected,0
22,Female,Single,High School,Semi-Urban,34372,612,2,69888,27944,1724656,36,11.29795152,64144.67768,4,,46,Pending,0
58,Male,Divorced,High School,Urban,129587,441,0,381499,46801,1012847,48,13.23514362,32271.95876,,,5,,0
59,Female,Single,Bachelor,Semi-Urban,64382,374,4,136527,51270,1824205,60,7.717314155,42135.05256,0,,92,,0
46,Male,Single,Bachelor,Semi-Urban,120294,889,4,269793,94253,1852211,24,13.46922984,97965.33805,0,5,31,Approved,1
35,Male,Single,High School,Urban,40665,730,4,40762,83361,1240851,48,9.781860919,35965.92242,1,1,29,Approved,1
54,Female,Divorced,Bachelor,Rural,120983,488,2,315893,57456,1075986,12,13.9166403,102143.9251,0,,95,,0
62,Female,Divorced,High School,Urban,33352,639,0,255249,48592,448608,48,10.97985601,13450.70937,,,73,Rejected,0
64,Male,Married,Master,Urban,35269,526,1,80104,87328,376579,12,11.2195533,34902.4568,0,,68,,0
60,Female,Married,Master,Semi-Urban,28491,582,1,,62622,525086,48,13.47183014,16834.18284,0,,2,,0
31,Male,Married,Master,Urban,149400,743,2,97792,63178,1367195,60,11.0166519,35338.17616,2,8,99,Rejected,0
23,Female,Divorced,Bachelor,Urban,102154,753,3,313513,9639,147030,24,9.631495263,7306.348957,2,4,81,Approved,0
26,Female,Married,High School,Urban,28078,882,3,,58961,1603921,24,7.657259981,77064.74174,3,3,61,Approved,0
29,Female,Divorced,Master,Rural,131472,728,4,62170,76214,352019,12,14.5018935,33589.03504,0,4,1,Rejected,1
26,Female,Single,Master,Urban,51614,556,0,297376,28949,160756,24,12.8811901,8423.77383,,,52,,0
29,Female,Single,High School,Urban,101314,593,1,245661,21408,1490210,12,11.99265549,139077.146,0,,84,,0
59,Male,Married,Bachelor,Urban,135792,700,4,115426,24130,652158,60,12.96736672,17916.60996,3,9,73,Rejected,0
51,Male,Single,Bachelor,Urban,95802,655,2,113902,15677,273607,24,12.79652825,14317.97475,1,6,20,Rejected,1
52,Male,Divorced,Bachelor,Semi-Urban,131636,721,3,183537,89743,277841,24,7.593209034,13334.79566,0,3,36,Pending,1
61,Female,Married,Bachelor,Urban,59207,428,2,193517,26895,1168390,24,7.902686894,56377.43362,1,,75,,0
32,Male,Divorced,PhD,Semi-Urban,119061,894,0,310294,83180,238127,60,11.45420586,6241.746399,,7,50,Approved,1
28,Male,Single,High School,Semi-Urban,31819,801,0,109336,9350,514096,12,12.92133504,48377.00555,,6,82,Pending,1
28,Female,Married,Bachelor,Urban,139660,760,0,87944,29292,1072811,60,9.406495923,26289.67691,,9,62,Rejected,1
48,Female,Single,PhD,Urban,47481,306,3,227974,9960,1889870,48,14.40594955,62060.10156,4,,20,,0
40,Female,Married,Bachelor,Semi-Urban,56011,662,3,177022,22503,1094778,24,8.388240848,53268.46795,2,7,76,Approved,0
27,Male,Married,Master,Semi-Urban,78116,343,4,339726,97564,394506,12,13.27840048,37240.84055,1,,21,,0
31,Male,Divorced,High School,Rural,124288,824,2,243440,5234,572020,12,8.141449295,51549.22652,1,7,19,Rejected,1
40,Female,Married,PhD,Rural,135067,831,1,150448,7684,1510353,24,8.816741634,74028.36848,3,2,36,Rejected,0
36,Male,Single,High School,Semi-Urban,51664,304,1,26586,26245,1351717,48,10.36769638,39839.26371,4,,48,,0
24,Male,Divorced,PhD,Rural,109796,411,1,388676,23761,791261,12,10.88734403,73117.35894,2,,40,,0
26,Female,Single,High School,Semi-Urban,131323,863,3,346456,16627,1937854,48,9.25394685,55315.9566,4,3,63,Approved,0
42,Male,Single,Bachelor,Urban,113332,708,4,345358,24496,399073,48,8.546919714,11156.39158,0,2,90,Approved,1
46,Female,Single,Bachelor,Semi-Urban,67623,739,0,26741,72896,1542475,36,14.75238003,61809.1756,,2,80,Pending,0
23,Male,Married,Bachelor,Urban,23905,769,0,,67169,940785,36,13.96618032,37082.22746,,3,88,Approved,0
61,Female,Single,High School,Urban,29078,684,4,,79956,661186,36,11.83943368,24889.66761,1,5,75,Approved,0
62,Male,Single,PhD,Urban,68292,883,3,103520,46800,555802,12,13.06670766,52368.91854,4,0,69,Approved,0
34,Male,Divorced,Bachelor,Urban,96685,783,1,180384,85011,1110968,60,10.33197165,28081.54157,2,9,33,Approved,0
31,Female,Married,Bachelor,Urban,63425,476,2,443992,85439,1498551,12,12.78475665,140844.7582,0,,66,,0
38,Female,Single,High School,Urban,38804,833,3,453138,20510,1165190,48,9.184093956,33192.47036,4,3,15,Approved,0
32,Female,Married,Master,Urban,27275,669,1,,57440,1662083,60,8.267213954,39152.04648,1,5,33,Rejected,0
43,Female,Divorced,Bachelor,Urban,86552,768,0,452891,61284,1640947,12,12.86783798,154341.7834,,7,36,Approved,0
32,Male,Single,PhD,Semi-Urban,21339,896,4,,72232,139231,36,13.92974394,5483.737926,1,0,91,Approved,0
33,Female,Married,Bachelor,Urban,146396,842,4,472772,50457,1499560,36,8.806183194,52658.9445,2,8,20,Rejected,0
45,Female,Married,High School,Rural,72653,676,1,307373,73136,117496,12,13.11779884,11075.74074,2,1,35,Approved,0
39,Female,Married,Bachelor,Rural,30724,648,3,51725,87749,1208839,60,11.89912992,32134.09359,3,,97,Rejected,0
56,Female,Single,Master,Semi-Urban,128180,805,1,136560,77761,436591,48,14.37919287,14327.16766,3,2,1,Rejected,0
28,Female,Married,Bachelor,Urban,28410,793,3,,55659,1962541,24,14.78918856,105959.5324,3,8,96,Rejected,0
49,Male,Single,Master,Semi-Urban,29713,597,0,,6539,1576057,60,12.18116798,42266.12922,,,22,,0
52,Female,Married,High School,Urban,141080,691,4,149764,81556,387685,48,12.20258732,12019.07089,3,2,27,Approved,0
64,Female,Single,Bachelor,Semi-Urban,112433,590,3,333108,7590,1111083,48,13.53653078,35681.07019,1,,53,,0
38,Female,Single,Master,Urban,51087,846,0,61697,52716,953204,36,14.52890045,38018.72724,,1,22,Approved,1
26,Male,Single,High School,Semi-Urban,20828,834,2,,91263,193723,12,8.504177452,17516.46231,1,2,38,Approved,0
38,Male,Married,High School,Semi-Urban,65252,601,1,36810,79525,1351862,12,9.463337731,123316.1056,3,,9,Approved,0
39,Male,Single,Master,Semi-Urban,50369,378,3,101905,24703,1609893,60,9.92167653,40142.248,0,,42,,0
42,Female,Single,Bachelor,Semi-Urban,93553,883,1,105213,98985,1077463,24,7.678134451,51788.37982,1,6,74,Rejected,1
57,Female,Single,Bachelor,Urban,67029,782,1,61953,89830,993366,12,8.906044965,90152.96855,2,4,88,Approved,0
52,Male,Married,Bachelor,Semi-Urban,89113,312,4,264849,38398,142910,12,9.07590566,12990.0314,0,,87,,0
61,Male,Single,PhD,Urban,39042,733,1,134917,68321,930905,36,12.84354354,35821.90464,1,4,38,Rejected,1
23,Female,Married,Master,Urban,84089,714,2,481214,33592,160507,24,9.191499092,7917.208287,2,3,53,Rejected,0
48,Female,Single,Bachelor,Urban,69820,612,4,329126,16340,811255,12,10.80929693,74912.16349,0,,53,Approved,0
30,Female,Single,High School,Urban,148936,802,1,419853,90596,255473,24,14.82239383,13800.30951,3,7,45,Approved,0
55,Male,Married,High School,Urban,44411,825,2,173343,82873,1088342,48,12.21055545,33748.17528,3,7,34,Approved,0
49,Female,Divorced,Master,Semi-Urban,90341,649,3,485485,19591,800743,48,9.407108187,22959.37586,1,,53,Rejected,0
35,Female,Single,Bachelor,Semi-Urban,97913,478,0,489335,21537,1576923,12,12.12966881,147349.8781,,,82,,0
53,Male,Single,Master,Urban,98545,820,2,259286,22958,1194750,24,8.916529832,58658.77001,4,1,80,Pending,0
27,Male,Single,Bachelor,Urban,97725,493,3,187862,49757,1229457,24,8.599730769,60038.20766,4,,35,,0
32,Male,Married,High School,Semi-Urban,75968,849,3,363402,89787,1112983,12,10.1135986,102128.8028,3,2,50,Pending,0
50,Female,Single,Bachelor,Rural,111070,832,3,188329,95627,747128,12,8.157414752,67339.52747,4,9,47,Rejected,0
41,Male,Married,High School,Urban,115327,895,0,280502,6698,1783585,36,10.23118765,64750.85513,,7,15,Approved,1
51,Male,Single,Master,Semi-Urban,55825,477,1,346522,79107,748590,60,13.88410255,21137.75027,2,,28,,0
44,Female,Single,Master,Rural,111865,683,1,147621,75676,1271226,12,10.66357597,117232.0125,0,1,52,Rejected,1
40,Female,Single,High School,Urban,66805,570,1,31785,21968,593251,24,8.470374599,28906.34017,4,,95,,0
57,Male,Married,Bachelor,Urban,59201,480,2,458043,70718,87779,24,9.149556708,4326.740782,4,,49,,0
24,Female,Married,Master,Rural,21142,558,0,,38319,836187,48,10.4617856,24710.5701,,,10,,0
48,Male,Single,Bachelor,Urban,64662,321,4,421340,99852,1108928,12,11.07265382,102642.9799,1,,3,,0
64,Female,Divorced,Bachelor,Semi-Urban,126544,594,0,168138,50384,1500053,36,12.34241018,57096.69674,,,15,,0
40,Female,Single,Bachelor,Semi-Urban,67627,823,4,247256,59992,586898,36,13.85710857,23079.97998,0,9,21,Approved,1
44,Male,Married,Master,Urban,149277,845,3,318505,41128,1064045,60,8.692862774,25442.08098,1,3,52,Rejected,1
52,Male,Married,Bachelor,Urban,91829,600,1,376943,25560,395623,36,13.1494203,15324.70537,0,,39,Approved,0
